TEST,CLASSNS,NAMESPACE,RESTRICTION,NodeKind,PROPERTY,PROPERTYNS,MinOccurs,MaxOccurs,TargetClass,Datatype,Definition,InSoftware,Label
,sff:OrganizationProfile,sff,exactly 1 sff:Organization,Class,forOrganization,sff:forOrganization,1,1,org:Organization,,An object property that links to the Organization the profile is for.,,
,sff:OrganizationProfile,sff,max 1 Person,Class,hasPrimaryContact,sff:hasPrimaryContact,0,1,sff:Person,,This is the primary contact name and email of the organization. Links to an instance of Person.,,
,sff:OrganizationProfile,sff,only TeamProfile,Class,hasManagementTeamProfile,sff:hasManagementTeamProfile,0,unbounded,sff:TeamProfile,,Profile of the organization's Management Team. Links to one or more instances of TeamProfile.,,
,sff:OrganizationProfile,sff,only TeamProfile,Class,hasBoardProfile,sff:hasBoardProfile,0,unbounded,sff:TeamProfile,,Profile of the organization's Board of Directors. Links to one or more instances of TeamProfile. Not required by SFF for SFI’s own reports. ,,
,sff:OrganizationProfile,sff,only Sector,Class,sectorServed,sff:sectorServed,0,unbounded,cids:Sector,,Identifies one or more sectors served by the organization. Links to one or more instances of Sector ,,
,sff:OrganizationProfile,sff,only Locality,Class,localityServed,sff:localityServed,0,unbounded,cids:Locality,,Identifies one or more localities served by the organization. Links to one or more instances of Locality.,,
,sff:OrganizationProfile,sff,only ProvinceTerritory,Class,provinceTerritoryServed,sff:provinceTerritoryServed,0,unbounded,cids:ProvinceTerritory,, Identifies one or more provinces and/or territories served by the SPO. Links to one or more instances of ProvinceTerritory (code list).,,
,sff:OrganizationProfile,sff,only PopulationServed,Class,primaryPopulationServed,sff:primaryPopulationServed,0,unbounded,cids:PopulationServed,,Identifies one or more populations served by the SPO. Links to one or more instances of PopulationServed (code list).,,
,sff:OrganizationProfile,sff,only OrganizationType,Class,organizationType,sff:organizationType,0,unbounded,cids:OrganizationType,,Identifies the type of Organization. Links to a single instance of OrganizationType (code list).,,
,sff:OrganizationProfile,sff,only EquityDeservingGroup,Class,servesEDG,sff:servesEDG,0,unbounded,sff:EquityDeservingGroup,,Profiles each of the equity deserving groups that the organization serves. Links to one or more instances of EquityDeservingGroup.,,
